"dataset","split","B","nodesize","method","mse","mae","lambda","lambda_naive","leaves","n_eff","n_train"
"servo",22,100,5,"SSRF-naive",51.1440564618486,6.19101862706345,0.831645077839862,0.932137773669719,32.85,2.05252657409166,116
"servo",22,100,5,"RF-tuned",50.0674311473673,5.71809634864047,0.831645077839862,0.932137773669719,32.85,2.05252657409166,116
"servo",22,100,5,"SSRF-tuned",47.8996309483829,5.98174705876586,0.831645077839862,0.932137773669719,32.85,2.05252657409166,116
"servo",22,100,5,"GBM",40.0187107025519,4.73179983732571,0.831645077839862,0.932137773669719,32.85,2.05252657409166,116
"servo",22,100,5,"LassoRF",47.5180548166962,5.82055957576973,0.831645077839862,0.932137773669719,32.85,2.05252657409166,116
"servo",22,100,5,"LLF",34.2365424980554,4.10117436161321,0.831645077839862,0.932137773669719,32.85,2.05252657409166,116
"servo",22,500,5,"RF",38.3946972789649,4.95758688620056,0.831305998013346,0.930552286373545,32.53,2.06923466736147,116
"servo",22,500,5,"SSRF-JS",45.6875923841393,5.6266165271655,0.831305998013346,0.930552286373545,32.53,2.06923466736147,116
"servo",22,500,5,"SSRF",47.0896367483877,5.74389294481841,0.831305998013346,0.930552286373545,32.53,2.06923466736147,116
"servo",22,500,5,"SSRF-naive",41.6021862278391,5.22196002371895,0.831305998013346,0.930552286373545,32.53,2.06923466736147,116
"servo",22,500,5,"RF-tuned",36.6093221008061,4.83089745135039,0.831305998013346,0.930552286373545,32.53,2.06923466736147,116
"servo",22,500,5,"SSRF-tuned",38.8704664018113,5.11927256743201,0.831305998013346,0.930552286373545,32.53,2.06923466736147,116
"servo",22,500,5,"GBM",58.5701100083421,6.30397425958536,0.831305998013346,0.930552286373545,32.53,2.06923466736147,116
"servo",22,500,5,"LassoRF",38.7457630061408,5.0271696880332,0.831305998013346,0.930552286373545,32.53,2.06923466736147,116
"servo",22,500,5,"LLF",22.0385653163911,3.81116912424087,0.831305998013346,0.930552286373545,32.53,2.06923466736147,116
"servo",23,5,5,"RF",53.5578517476044,5.9994694847636,0.818630722875223,0.917780551433683,34.4,2.05573461825892,116
