experiment,dgp,n,p,B,min_leaf,rep,rule,mean_abs_C,mean_bound,rel_C,s_lambda,identity_err,mse_true,mse_common
heterogeneity,dgp1,1200,10,100,5,1,EB,0.004002378412499763,0.04620028255492777,0.013081573991528221,0.056336865882286244,4.440892098500626e-16,0.05826572908755205,0.058747100343639676
heterogeneity,dgp1,1200,10,100,5,1,JS,0.0012419205495779136,0.01530906487811117,0.00405915530379746,0.018682622033587178,5.551115123125783e-16,0.058667213871182726,0.058673789727164964
heterogeneity,dgp1,1200,10,100,5,2,EB,0.004545845419886291,0.052598498635513566,0.016082884793696968,0.06200771290885368,3.885780586188048e-16,0.06821823372542012,0.06833831068255074
heterogeneity,dgp1,1200,10,100,5,2,JS,0.0014260000334016798,0.017875957023814705,0.0050450888964853795,0.02113809388661617,3.3306690738754696e-16,0.06836949841104456,0.06829075892332262
heterogeneity,dgp1,1200,10,100,5,3,EB,0.0046327245580698485,0.052000032564727905,0.015445929394458886,0.06154304683990152,4.440892098500626e-16,0.059053572520382985,0.059083139286987614
heterogeneity,dgp1,1200,10,100,5,3,JS,0.0012929019394937256,0.016062085353499383,0.0043106538757182785,0.01905453654510768,4.440892098500626e-16,0.05897225874954001,0.0590846084718639
heterogeneity,dgp1,1200,10,100,5,4,EB,0.0043906392140227075,0.04953605704002423,0.013475196554808251,0.05923149457384876,5.551115123125783e-16,0.0572257165173581,0.05741275873683823
heterogeneity,dgp1,1200,10,100,5,4,JS,0.0012413267697577604,0.015476376858879969,0.003809723686202316,0.01851553751314647,4.440892098500626e-16,0.057406150707407747,0.05736660803133316
heterogeneity,dgp1,1200,10,100,5,5,EB,0.0041279653132413295,0.04450401997024868,0.01162002011089832,0.05405976841451228,6.661338147750939e-16,0.05571599245303499,0.05612613177096308
heterogeneity,dgp1,1200,10,100,5,5,JS,0.0010986872964336434,0.013131361318978256,0.003092750910283889,0.015989412118988397,4.440892098500626e-16,0.05645791065818976,0.05640987723887426
heterogeneity,dgp1,1200,10,100,5,6,EB,0.004668137623017673,0.05001135306881513,0.014916357568603024,0.059529815683689986,3.3306690738754696e-16,0.05952934873508406,0.059880649270759936
heterogeneity,dgp1,1200,10,100,5,6,JS,0.0011093031882939202,0.014011725753942264,0.0035446176494443164,0.016696259854630212,4.440892098500626e-16,0.059787319561194506,0.05976639284853128
heterogeneity,dgp1,1200,10,100,5,7,EB,0.004922166285663257,0.05438801263702782,0.015788810487583918,0.06357630966868201,4.440892098500626e-16,0.05893846910337403,0.05944229739328222
heterogeneity,dgp1,1200,10,100,5,7,JS,0.0017973422744204848,0.022394914425132667,0.0057653266682200655,0.026166502125518864,3.3306690738754696e-16,0.059365592448073386,0.059515972487783175
heterogeneity,dgp1,1200,10,100,5,8,EB,0.003888065430351705,0.04351151743757101,0.014015871300376492,0.05594495848972312,4.440892098500626e-16,0.05554962836525264,0.05599691765827456
heterogeneity,dgp1,1200,10,100,5,8,JS,0.0010642953432190775,0.013304149478365746,0.0038366192193425254,0.017136512949381896,4.440892098500626e-16,0.05602118543306068,0.056028714621477266
heterogeneity,dgp1,1200,10,100,5,9,EB,0.0046465277694202655,0.05036861116900429,0.013641764747043908,0.06085479113593735,4.440892098500626e-16,0.05832277535214549,0.05885193476283308
heterogeneity,dgp1,1200,10,100,5,9,JS,0.0013832599706498012,0.016956800426098255,0.004061120053515105,0.02052063069052301,4.440892098500626e-16,0.058966141187575725,0.05898095002973807
heterogeneity,dgp1,1200,10,100,5,10,EB,0.004628233532923597,0.05187781131367667,0.014505841497686732,0.06112813158174013,4.440892098500626e-16,0.0577402290941324,0.05835751203095291
heterogeneity,dgp1,1200,10,100,5,10,JS,0.001471566536495951,0.016826561064658144,0.004612194000121232,0.019856040211757353,4.440892098500626e-16,0.05854562924797602,0.05853175045734647
heterogeneity,dgp1,1200,10,100,5,11,EB,0.004941245556201781,0.051597677976532294,0.012714498373576725,0.058001953961697196,6.661338147750939e-16,0.05411717446356658,0.05477952581364099
heterogeneity,dgp1,1200,10,100,5,11,JS,0.001323505133536119,0.015933726929626094,0.003405559119935843,0.01794750713160473,6.661338147750939e-16,0.05471376620083357,0.05468202286112877
heterogeneity,dgp1,1200,10,100,5,12,EB,0.00483844255733221,0.05262766118329196,0.016076559079844958,0.06163036821278651,4.440892098500626e-16,0.06057486620001646,0.06092250493940065
heterogeneity,dgp1,1200,10,100,5,12,JS,0.001760326477672224,0.02068377697549352,0.005848988033396589,0.02428044284604669,4.440892098500626e-16,0.060891919697612415,0.06090487893889039
heterogeneity,dgp1,1200,10,100,5,13,EB,0.005647095999229431,0.060411738704664666,0.019219131879969997,0.06949878167724995,3.3306690738754696e-16,0.0584878022306226,0.05912874678860201
heterogeneity,dgp1,1200,10,100,5,13,JS,0.002351094595041074,0.0269959045941833,0.008001634307358129,0.031084991849938383,3.3306690738754696e-16,0.058749468949598586,0.058999454699342924
