dgp,n,p,B,method,mse_true,mse,coverage,isc,rt,reps
dgp1,2000,24,10,SSRF,0.1119993375589563,1.3243917906289102,0.9544999999999999,6.424484793007169,0.27181572219997174,10
dgp1,2000,24,10,SSRF-H,0.13986435599129493,1.3534623384694158,0.952,6.510908859038047,0.0823757581999757,10
dgp1,2000,24,10,SSRF-JS,0.11373404263820065,1.326818308595959,0.955,6.432336889073381,0.27181572219997174,10
dgp1,2000,24,10,SSRF-JS-H,0.13983416004021965,1.3571940530764297,0.952,6.516446443207588,0.0823757581999757,10
dgp1,2000,24,10,SSRF-rob,0.12532924516161145,1.346404185816056,0.9535,6.431160103245477,0.31480624789999184,10
dgp1,2000,24,10,SSRF-tuned,0.06118086512204535,1.283066276108773,0.95,6.3008968652380615,14.74293675360001,10
dgp1,2000,24,500,GBM,0.07190803951522565,1.2952622665064468,0.9484999999999999,6.344446717441131,0.9835232461999567,10
dgp1,2000,24,500,LassoRF,0.07758262534324381,1.2973957506723763,0.953,6.303830077557085,2.4918445784999905,10
dgp1,2000,24,500,RF,0.0502579462010962,1.27050565620731,0.9495,6.258203407631861,13.664861836299973,10
dgp1,2000,24,500,RF-H,0.0570780613107721,1.2791267930809749,0.9535,6.297735745011911,3.7741077884999754,10
dgp1,2000,24,500,RF-tuned,0.04346946523961625,1.2687655968555904,0.9504999999999999,6.252038780250014,20.23563346359996,10
dgp1,2000,24,500,RidgeRF,0.056085154297988646,1.273261648381116,0.95,6.2534354408865545,8.864251227099976,10
dgp1,2000,24,500,SSRF,0.0507182299993371,1.2664072637624573,0.951,6.255873284283297,13.664861836299973,10
dgp1,2000,24,500,SSRF-H,0.13723722990787215,1.349787624045516,0.9484999999999999,6.331070750749702,3.7741077884999754,10
dgp1,2000,24,500,SSRF-JS,0.05090964004487295,1.266588032512964,0.951,6.258716735732342,13.664861836299973,10
dgp1,2000,24,500,SSRF-JS-H,0.13811245977010722,1.3505879219043027,0.9495,6.33385194767159,3.7741077884999754,10
dgp1,2000,24,500,SSRF-rob,0.0498613779205946,1.2684748900907117,0.95,6.262283429880176,14.69682039590001,10
dgp1,2000,24,500,SSRF-tuned,0.04525545765915215,1.2674556283200846,0.95,6.250344336944879,30.106137922399967,10
dgp2,300,10,10,GBM,0.0953213375635279,0.6922520986168086,0.951,4.9182164975018665,0.09514024039999636,10
dgp2,300,10,10,LassoRF,0.06708597983191306,0.678158295110421,0.95,4.594414429711567,0.06228937419998597,10
dgp2,300,10,10,RF,0.08338075259302336,0.7071757375651634,0.949,4.610267990228959,0.031033253399982592,10
dgp2,300,10,10,RF-H,0.08789309928686476,0.6886252362173912,0.951,4.60822763870982,0.02011382280002174,10
dgp2,300,10,10,RF-tuned,0.0522146364520257,0.6596229640837478,0.954,4.636470599471984,2.6531736179000065,10
dgp2,300,10,10,RidgeRF,0.07914466320640295,0.6960223815756805,0.952,4.65448559569259,0.027720501499993527,10
dgp2,300,10,10,SSRF,0.06851961277433645,0.6784034377252564,0.953,4.56960684424745,0.031033253399982592,10
dgp2,300,10,10,SSRF-H,0.0909815577665202,0.7037174587478274,0.955,4.556894493210311,0.02011382280002174,10
dgp2,300,10,10,SSRF-JS,0.0699696449994955,0.6814843444353482,0.953,4.569062636932575,0.031033253399982592,10
dgp2,300,10,10,SSRF-JS-H,0.09035087707800195,0.701321097654269,0.955,4.567045307766197,0.02011382280002174,10
dgp2,300,10,10,SSRF-rob,0.07539723368588655,0.6978941095067244,0.948,4.5779283865509175,0.04602094399997435,10
dgp2,300,10,10,SSRF-tuned,0.054495179613432254,0.6665263477322757,0.952,4.539865142034484,2.6859055340999705,10
dgp2,300,10,500,GBM,0.0953213375635279,0.6922520986168086,0.95,4.637133325151741,0.11550812350003521,10
dgp2,300,10,500,LassoRF,0.0402464727197226,0.667550074358204,0.954,4.527741093574213,1.0202115031999939,10
dgp2,300,10,500,RF,0.047639166146835055,0.6625821867021324,0.958,4.504268509957829,1.3992448441999386,10
dgp2,300,10,500,RF-H,0.0546525516994566,0.652769255026141,0.949,4.517768198643376,0.8911109833000183,10
dgp2,300,10,500,RF-tuned,0.039149261102779,0.6521879415071488,0.956,4.497409346282686,3.669264174900036,10
dgp2,300,10,500,RidgeRF,0.05143936921621,0.6636293578020322,0.957,4.455552652353422,1.0957142788000283,10
dgp2,300,10,500,SSRF,0.046763117746505295,0.6537878321075328,0.954,4.499429603282165,1.3992448441999386,10
dgp2,300,10,500,SSRF-H,0.08630752139758724,0.698003630669968,0.942,4.676480945319688,0.8911109833000183,10
dgp2,300,10,500,SSRF-JS,0.0467404872393982,0.6544289891592929,0.954,4.502709299015628,1.3992448441999386,10
dgp2,300,10,500,SSRF-JS-H,0.08460229075852925,0.6945756162599569,0.943,4.669445663731643,0.8911109833000183,10
dgp2,300,10,500,SSRF-rob,0.0462939350816357,0.6584445054449533,0.956,4.510039737641333,2.1984177992999774,10
dgp2,300,10,500,SSRF-tuned,0.04092749759952695,0.6514794074401278,0.956,4.4932488270204995,5.1779831749000325,10
dgp2,600,20,10,GBM,0.05593848169768885,0.7417457848452544,0.949,4.838346037642412,0.2803441150998878,10
dgp2,600,20,10,LassoRF,0.060001438857936545,0.7396574642269738,0.944,4.876372558484684,0.09458601859996632,10
dgp2,600,20,10,RF,0.08401631206702259,0.7612464630946767,0.947,4.931673058180214,0.06650138770005463,10
dgp2,600,20,10,RF-H,0.08227528662765685,0.7597942048983395,0.946,4.917645490493758,0.029466595800022283,10
