dgp,min_leaf,B,gain_js,gain_eb,se,win,p,reps,p_holm
dgp3,2,100,-3.073778951437017,-3.816609421937711,2.788739813680659,56.666666666666664,0.054716029204428196,30,0.1641480876132846
dgp3,2,250,2.751988530818983,1.7743402963489086,2.9964239008570677,43.333333333333336,0.657476463355124,30,1.0
dgp3,2,500,4.025880895118005,2.9525365406000925,2.6415671892339523,36.666666666666664,0.8091007824987173,30,1.0
dgp3,5,1,-38.42023182252127,-42.556657630811316,1.8667178744353805,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp3,5,3,-35.395827000290964,-37.48262283273617,1.8231270120505512,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp3,5,5,-30.494430758210505,-33.71271486080718,2.4794933557501206,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp3,5,10,-21.71368092389225,-23.24741407762864,3.6516107551612067,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp3,5,25,-10.846654631909296,-12.228286697890567,3.6393606314543376,70.0,0.00011581834405660629,30,0.0009265467524528503
dgp3,5,50,-0.4283097770847122,-0.7388239927106965,3.6606200991785016,50.0,0.13550281431525946,30,0.5420112572610378
dgp3,5,100,5.239953360133953,4.513867734487775,2.475378691134821,30.0,0.932632458396256,30,1.0
dgp3,5,250,8.618235580611511,8.125135642602933,3.549202502949965,23.333333333333332,0.9947008695453405,30,1.0
dgp3,5,500,10.112452032480967,9.98006646180266,3.2143739412416803,16.666666666666664,0.9983885055407882,30,1.0
dgp3,20,1,-23.88267557124489,-26.06412300175861,0.738055931972556,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp3,20,3,-13.066853193054978,-14.677848422574087,1.2260494680888907,100.0,9.313225746154785e-10,30,2.514570951461792e-08
dgp3,20,5,-6.692354960721835,-7.618359640325756,1.2632265360764903,93.33333333333333,1.7695128917694092e-08,30,3.1851232051849365e-07
dgp3,20,10,1.0242017341492438,1.3913904945238031,1.4522854538177778,36.666666666666664,0.7010961147025228,30,1.0
dgp3,20,25,9.41483214597979,10.437404320729993,0.9986448039792168,10.0,0.9999881666153669,30,1.0
dgp3,20,50,14.059007666769663,15.778709709524218,0.805573044752226,13.333333333333334,0.9999960027635098,30,1.0
dgp3,20,100,16.41755216962447,18.366313221345788,0.9764664977626337,10.0,0.9999847523868084,30,1.0
dgp3,20,250,17.804489804586808,20.212815365982063,1.4396821229635248,6.666666666666667,0.9999974276870489,30,1.0
dgp3,20,500,18.118013848277435,20.350665163365,1.52414545520558,3.3333333333333335,0.9999983804300427,30,1.0
