experiment,dgp,n,p,B,min_leaf,rep,method,mse,mae,mse_true,lam_js,leaves,snr
substitution,dgp1,600,10,5,2,5,RF,1.7292743191450588,0.9718467671428889,0.31592486228119704,0.7936874378617628,235.4,0.13867967661100855
substitution,dgp1,600,10,5,2,5,SSRF,1.609765616466378,0.9308607034833979,0.2104285220979407,0.7936874378617628,235.4,0.13867967661100855
substitution,dgp1,600,10,5,2,5,SSRF-JS,1.6232891927530408,0.9355779514676125,0.21838314783473406,0.7936874378617628,235.4,0.13867967661100855
substitution,dgp1,600,10,10,2,5,RF,1.6041810643437882,0.9387552374754956,0.21588015042267122,0.7930282821391477,233.6,0.13867967661100855
substitution,dgp1,600,10,10,2,5,SSRF,1.5271972676027932,0.9101191729959329,0.14849881585909816,0.7930282821391477,233.6,0.13867967661100855
substitution,dgp1,600,10,10,2,5,SSRF-JS,1.5353209717691327,0.9127832442301804,0.15204987756505234,0.7930282821391477,233.6,0.13867967661100855
substitution,dgp1,600,10,25,2,5,RF,1.5037225749371792,0.9042985182872034,0.14138497977947087,0.7897799469262757,233.72,0.13867967661100855
substitution,dgp1,600,10,25,2,5,SSRF,1.4676430454911813,0.8887255388968178,0.10471064522912812,0.7897799469262757,233.72,0.13867967661100855
substitution,dgp1,600,10,25,2,5,SSRF-JS,1.4698408061632475,0.889210392001882,0.10582307386776024,0.7897799469262757,233.72,0.13867967661100855
substitution,dgp1,600,10,50,2,5,RF,1.4625809220505641,0.8820420279387974,0.10613214560382211,0.7761802841599758,233.6,0.13867967661100855
substitution,dgp1,600,10,50,2,5,SSRF,1.440400602502684,0.8734738208001913,0.08114558896028584,0.7761802841599758,233.6,0.13867967661100855
substitution,dgp1,600,10,50,2,5,SSRF-JS,1.4416218065904505,0.8736411735732038,0.08181916084576742,0.7761802841599758,233.6,0.13867967661100855
substitution,dgp1,600,10,100,2,5,RF,1.4477649490642464,0.8737039366878537,0.09177586181849771,0.7726218907176131,233.55,0.13867967661100855
substitution,dgp1,600,10,100,2,5,SSRF,1.4328271611852947,0.8672579823852407,0.07311311697061022,0.7726218907176131,233.55,0.13867967661100855
substitution,dgp1,600,10,100,2,5,SSRF-JS,1.4330859427314286,0.867448770359833,0.07371419643686464,0.7726218907176131,233.55,0.13867967661100855
substitution,dgp1,600,10,250,2,5,RF,1.4448735377297781,0.8728749003748526,0.08350281553690367,0.7718235142013778,233.5,0.13867967661100855
substitution,dgp1,600,10,250,2,5,SSRF,1.431066581828544,0.8660789614055484,0.06745423657568242,0.7718235142013778,233.5,0.13867967661100855
substitution,dgp1,600,10,250,2,5,SSRF-JS,1.4317668271303283,0.8664462708852986,0.06808701791723636,0.7718235142013778,233.5,0.13867967661100855
substitution,dgp1,600,10,500,2,5,RF,1.4412893854887368,0.8720363126843377,0.0814868367522281,0.7726813970854034,233.42,0.13867967661100855
substitution,dgp1,600,10,500,2,5,SSRF,1.4290818899635866,0.8659593548752409,0.06648315687622149,0.7726813970854034,233.42,0.13867967661100855
substitution,dgp1,600,10,500,2,5,SSRF-JS,1.4295950786931055,0.8662587492660236,0.06697970916024713,0.7726813970854034,233.42,0.13867967661100855
