experiment,dgp,n,p,B,min_leaf,rep,method,mse,mse_true,runtime,lam_tree,lam_cv,lam_ij,lam_oracle,lam_local_mean
calibration,dgp1,300,10,10,5,16,Cal-IJ,1.3019593019605813,0.14003372557877083,0.01658905300018887,0.74491503004167,0.0787650183653085,0.1698579146325543,0.56,0.08150082094723238
calibration,dgp1,300,10,10,5,17,RF,1.3439090408453909,0.1454029576743903,0.01150701400001708,0.8195136486455977,0.6176341412798266,0.18756842532739904,0.53,0.6922769883669109
calibration,dgp1,300,10,10,5,17,SSRF-JS,1.3196660646197507,0.11526322524278966,0.01150701400001708,0.8195136486455977,0.6176341412798266,0.18756842532739904,0.53,0.6922769883669109
calibration,dgp1,300,10,10,5,17,Cal-CV,1.3112144835774797,0.09925653432613496,0.07685571899992283,0.8195136486455977,0.6176341412798266,0.18756842532739904,0.53,0.6922769883669109
calibration,dgp1,300,10,10,5,17,Cal-CV-local,1.3152130090648844,0.10849804182874326,0.07685571899992283,0.8195136486455977,0.6176341412798266,0.18756842532739904,0.53,0.6922769883669109
calibration,dgp1,300,10,10,5,17,Cal-IJ,1.3499341476239055,0.12284622197743185,0.017849770000111675,0.8195136486455977,0.6176341412798266,0.18756842532739904,0.53,0.6922769883669109
calibration,dgp1,300,10,10,5,18,RF,1.4361632732868683,0.15703099645620294,0.017837529000189534,0.8159944965607107,0.7310444636050646,0.4231748146303818,0.52,0.720740872312401
calibration,dgp1,300,10,10,5,18,SSRF-JS,1.3964802643326857,0.12029464754765405,0.017837529000189534,0.8159944965607107,0.7310444636050646,0.4231748146303818,0.52,0.720740872312401
calibration,dgp1,300,10,10,5,18,Cal-CV,1.384094015826092,0.10730148429598428,0.09437364500013246,0.8159944965607107,0.7310444636050646,0.4231748146303818,0.52,0.720740872312401
calibration,dgp1,300,10,10,5,18,Cal-CV-local,1.3873977565705287,0.11269153729097273,0.09437364500013246,0.8159944965607107,0.7310444636050646,0.4231748146303818,0.52,0.720740872312401
