dataset,n,p,split,B,method,mse,mae,runtime,lam,lam_naive,leaves,n_eff,n_train
airquality,111,5,2,5,SSRF-naive,343.7711142851522,15.003026267694885,0.0044661520000772725,0.9210966874261228,0.9526308945640467,11.2,3.80097631802246,78
airquality,111,5,2,5,SSRF-rob,340.8364970708042,14.921811497237684,0.007938458999888098,0.9210966874261228,0.9526308945640467,11.2,3.80097631802246,78
airquality,111,5,2,10,RF,545.1811061136689,17.780817700817703,0.00786482600005911,0.8768592355649645,0.9356692506410639,11.8,3.636157155094781,78
airquality,111,5,2,10,SSRF-JS,588.4650731919053,18.882943723296236,0.00786482600005911,0.8768592355649645,0.9356692506410639,11.8,3.636157155094781,78
airquality,111,5,2,10,SSRF,603.7084426421748,19.200163706262543,0.00786482600005911,0.8768592355649645,0.9356692506410639,11.8,3.636157155094781,78
airquality,111,5,2,10,SSRF-naive,567.6406684124441,18.360650941872343,0.008711458999869137,0.8768592355649645,0.9356692506410639,11.8,3.636157155094781,78
airquality,111,5,2,10,SSRF-rob,564.3931940410347,18.28590665049171,0.015556984000113516,0.8768592355649645,0.9356692506410639,11.8,3.636157155094781,78
airquality,111,5,2,25,RF,600.0064440651588,16.6203384359748,0.019064062000097692,0.9004110557367677,0.9442714006887658,11.4,3.77867163519182,78
airquality,111,5,2,25,SSRF-JS,622.4924420261553,17.047591705126525,0.019064062000097692,0.9004110557367677,0.9442714006887658,11.4,3.77867163519182,78
airquality,111,5,2,25,SSRF,627.5255946704037,17.161046072736024,0.019064062000097692,0.9004110557367677,0.9442714006887658,11.4,3.77867163519182,78
airquality,111,5,2,25,SSRF-naive,611.0650442306041,16.862896626976983,0.02162263300010636,0.9004110557367677,0.9442714006887658,11.4,3.77867163519182,78
airquality,111,5,2,25,SSRF-rob,614.7022804927361,16.92225262614387,0.03628297099999145,0.9004110557367677,0.9442714006887658,11.4,3.77867163519182,78
airquality,111,5,2,25,RF-tuned,427.72702217742807,13.22406685906686,1.240455916999963,0.9004110557367677,0.9442714006887658,11.4,3.77867163519182,78
airquality,111,5,2,25,SSRF-tuned,441.8410690895423,13.263886321108796,1.264400533999833,0.9004110557367677,0.9442714006887658,11.4,3.77867163519182,78
airquality,111,5,2,25,LassoRF,520.276547272294,14.782125558220747,0.04547653999998147,0.9004110557367677,0.9442714006887658,11.4,3.77867163519182,78
airquality,111,5,2,25,GBM,312.4073873889887,11.71562731975724,0.05294303699997727,0.9004110557367677,0.9442714006887658,11.4,3.77867163519182,78
airquality,111,5,2,100,RF,294.1633943156104,13.048001431228705,0.08607712699995318,0.8758874004140114,0.9319131196941344,11.43,3.746799195813034,78
airquality,111,5,2,100,SSRF-JS,336.1503499554192,14.203658303936779,0.08607712699995318,0.8758874004140114,0.9319131196941344,11.43,3.746799195813034,78
airquality,111,5,2,100,SSRF,348.3324682084012,14.543137934473796,0.08607712699995318,0.8758874004140114,0.9319131196941344,11.43,3.746799195813034,78
airquality,111,5,2,100,SSRF-naive,316.2663595375101,13.639771403273778,0.091156299999966,0.8758874004140114,0.9319131196941344,11.43,3.746799195813034,78
airquality,111,5,2,100,SSRF-rob,317.3257042269771,13.668832815042554,0.15283528299983118,0.8758874004140114,0.9319131196941344,11.43,3.746799195813034,78
airquality,111,5,2,100,RF-tuned,250.71779120400518,11.656948292448291,1.7605374319998646,0.8758874004140114,0.9319131196941344,11.43,3.746799195813034,78
airquality,111,5,2,100,SSRF-tuned,289.71897267641396,12.689101941061566,1.8884949439998309,0.8758874004140114,0.9319131196941344,11.43,3.746799195813034,78
