"experiment","dgp","n","p","B","min_leaf","rep","method","mse","mae","mse_true","lambda","leaves","n_eff","snr"
"substitution","dgp1",600,10,25,20,2,"SSRF",1.13474261221375,0.789783244847676,0.0795549402389858,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,50,20,2,"RF",1.15172510567396,0.797676363049891,0.0904282456311833,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,50,20,2,"SSRF-JS",1.13760421338502,0.791275859869418,0.0779686980505224,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,50,20,2,"SSRF",1.13195337245162,0.789267090648776,0.0715476559836861,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,100,20,2,"RF",1.14563502128455,0.794956291721456,0.083152858822925,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,100,20,2,"SSRF-JS",1.13313598639714,0.788958937885131,0.0723222092856471,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,100,20,2,"SSRF",1.12820197016865,0.787138771066501,0.0677320197105099,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,250,20,2,"RF",1.14086808747948,0.793188143116275,0.0742623647497557,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,250,20,2,"SSRF-JS",1.12869222887412,0.787527588163897,0.0641480445308822,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,250,20,2,"SSRF",1.12400156082721,0.785910238876376,0.0604726860185692,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,500,20,2,"RF",1.13736873666785,0.792507335746152,0.0733618757670497,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,500,20,2,"SSRF-JS",1.12569147755304,0.786656463059276,0.0634933258018499,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp1",600,10,500,20,2,"SSRF",1.12135141464169,0.7851791013596,0.0599841325565616,0.876638142695026,66.056,4.86591651143289,0.145546797071234
"substitution","dgp2",600,10,1,2,1,"RF",1.37932166225763,0.8293903705624,0.71951589333209,0.87475541442644,338.202,1.1208212843212,0.149733255768359
"substitution","dgp2",600,10,1,2,1,"SSRF-JS",1.35139225952506,0.821868512119348,0.690717266554617,0.87475541442644,338.202,1.1208212843212,0.149733255768359
"substitution","dgp2",600,10,1,2,1,"SSRF",1.34949912006578,0.821651806421844,0.688762390511854,0.87475541442644,338.202,1.1208212843212,0.149733255768359
"substitution","dgp2",600,10,3,2,1,"RF",0.899842999124117,0.68748011697216,0.225024215885627,0.87475541442644,338.202,1.1208212843212,0.149733255768359
"substitution","dgp2",600,10,3,2,1,"SSRF-JS",0.879404585870654,0.678028753049335,0.20348255049708,0.87475541442644,338.202,1.1208212843212,0.149733255768359
"substitution","dgp2",600,10,3,2,1,"SSRF",0.878062284509128,0.677570142928344,0.202002495492294,0.87475541442644,338.202,1.1208212843212,0.149733255768359
"substitution","dgp2",600,10,5,2,1,"RF",0.844877872300703,0.665710961848399,0.155733690216283,0.87475541442644,338.202,1.1208212843212,0.149733255768359
"substitution","dgp2",600,10,5,2,1,"SSRF-JS",0.821747582912597,0.654632312862058,0.132154554697083,0.87475541442644,338.202,1.1208212843212,0.149733255768359
"substitution","dgp2",600,10,5,2,1,"SSRF",0.820392714173091,0.653939743958443,0.130954644707344,0.87475541442644,338.202,1.1208212843212,0.149733255768359
"substitution","dgp2",600,10,10,2,1,"RF",0.780786696091815,0.640002705430166,0.104386179695426,0.87475541442644,338.202,1.1208212843212,0.149733255768359
"substitution","dgp2",600,10,10,2,1,"SSRF-JS",0.76857430376596,0.632041506982321,0.0901768851958802,0.87475541442644,338.202,1.1208212843212,0.149733255768359
