"dgp","n","p","B","method","mse_true","se","cov","isc","rt"
"dgp1",1200,20,10,"SSRF-tuned",0.0891271448883414,NA,0.964166666666667,5.87215112352069,5.555
"dgp1",1200,20,500,"GBM",0.0801819270692422,NA,0.950833333333333,6.01401427814397,0.350000000000001
"dgp1",1200,20,500,"LassoRF",0.113666615045292,NA,0.951666666666667,6.056118847544,1.4335
"dgp1",1200,20,500,"RF",0.0627871198935462,NA,0.945,5.99935706595809,3.8845
"dgp1",1200,20,500,"RF-H",0.0757549917188437,NA,0.951666666666667,5.97499814862978,1.78850000000001
"dgp1",1200,20,500,"RF-tuned",0.0555982781388878,NA,0.949166666666667,6.00266838800809,7.837
"dgp1",1200,20,500,"RidgeRF",0.0750964227745496,NA,0.95,6.03299212618676,3.21250000000001
"dgp1",1200,20,500,"SSRF",0.061667592788049,NA,0.946666666666667,5.98337745217151,3.8845
"dgp1",1200,20,500,"SSRF-JS",0.0621780474773547,NA,0.946666666666667,5.9837262734459,3.8845
"dgp1",1200,20,500,"SSRF-JS-H",0.142734604150518,NA,0.9525,6.08943146415659,1.78850000000001
"dgp1",1200,20,500,"SSRF-naive",0.0621666530150442,NA,0.945,5.99292499527986,3.8845
"dgp1",1200,20,500,"SSRF-rob",0.0626619982942318,NA,0.945,5.99735652981983,5.953
"dgp1",1200,20,500,"SSRF-tuned",0.0567007072921656,NA,0.95,5.982580095023,10.6825
"dgp1",2000,24,10,"GBM",0.0472266824785408,NA,0.948,6.3543087545566,0.407499999999999
"dgp1",2000,24,10,"LassoRF",0.276955840114049,NA,0.952,6.69666499888834,0.0889999999999986
"dgp1",2000,24,10,"RF",0.191188646184624,NA,0.9445,6.64277947681673,0.192000000000007
"dgp1",2000,24,10,"RF-H",0.116952443962898,NA,0.9525,6.44804492646177,0.069500000000005
"dgp1",2000,24,10,"RF-tuned",0.117614922943482,NA,0.9455,6.44831859788802,13.562
"dgp1",2000,24,10,"RidgeRF",0.204268580143704,NA,0.9595,6.57480213686889,0.228000000000009
"dgp1",2000,24,10,"SSRF",0.163796607855888,NA,0.9455,6.58893106334492,0.192000000000007
"dgp1",2000,24,10,"SSRF-JS",0.167994953585625,NA,0.9455,6.6054206199216,0.192000000000007
"dgp1",2000,24,10,"SSRF-JS-H",0.142671214372487,NA,0.951,6.51770968492644,0.069500000000005
"dgp1",2000,24,10,"SSRF-naive",0.180711176666474,NA,0.9465,6.62004356111652,0.192000000000007
"dgp1",2000,24,10,"SSRF-rob",0.188992866065091,NA,0.9445,6.6393195002809,0.275500000000022
"dgp1",2000,24,10,"SSRF-tuned",0.106780204193419,NA,0.95,6.4573843170081,13.707
"dgp1",2000,24,500,"GBM",0.051564690697065,NA,0.964,6.14831265478097,0.677000000000007
"dgp1",2000,24,500,"LassoRF",0.177997821247559,NA,0.962,6.57231254772454,2.24599999999998
"dgp1",2000,24,500,"RF",0.0560117610658052,NA,0.9655,6.15744855702373,9.489
"dgp1",2000,24,500,"RF-H",0.0575322726228139,NA,0.9655,6.17157978105893,3.31999999999999
"dgp1",2000,24,500,"RF-tuned",0.0478643529857435,NA,0.965,6.16334040430757,18.376
"dgp1",2000,24,500,"RidgeRF",0.06398924547317,NA,0.963,6.25517385390985,8.31100000000001
"dgp1",2000,24,500,"SSRF",0.052323257656626,NA,0.9655,6.1476076766271,9.489
"dgp1",2000,24,500,"SSRF-JS",0.0530509301441883,NA,0.9655,6.14502678939741,9.489
"dgp1",2000,24,500,"SSRF-JS-H",0.14073355144675,NA,0.9665,6.28588051187178,3.31999999999999
"dgp1",2000,24,500,"SSRF-naive",0.0545101880872515,NA,0.9665,6.15723337578851,9.489
